NestID,Length,TotalLength,ItemNumber,RemainingLength
6302,103,5831,460,129
6302,103,5831,463,129
6302,103,5831,464,129
6302,103,5831,465,129
6302,103,5831,467,129
6302,103,5831,468,129
6302,103,5831,469,129
6302,103,5831,471,129
6302,103,5831,472,129
6302,103,5831,598,129
6302,103,5831,599,129
6302,103,5831,612,129
6302,103,5831,613,129
6302,103,5831,3513,129
9976,104,5859,4237,0
10054,105,13000,3317,0
10054,105,13000,3385,0
10054,105,13000,3386,0
10054,105,13000,3387,0
10492,105,5773,3212,0
7585,106,6000,474,0
7586,106,6000,471,0
9976,106,5859,3550,0
9812,107,2190,4019,0
1393,107,4252,155,0
1395,107,4702,154,3298
6619,107,597,UD11-6711-P,5403
598,108,108,2564,5892
11133,108,8000,2199,0
9810,108,2386,4021,0
8483,109,5543,2891,0
8483,110,5543,2892,0
9976,111,5859,3575,0
9318,112,3900,4989,0
6356,112,1288,4188,4712
410,113,4783,1398,0
3548,115,12980,2224,20
4546,116,5550,2765,0
6577,116,5648,5277,0
6578,116,5957,5276,43
6302,116,5831,477,129
6302,116,5831,478,129
6302,116,5831,479,129
6302,116,5831,576,129
6790,116,6563,2488,0
5889,117,4238,1809,0
5891,117,6000,1703,0
5891,117,6000,1807,0
5891,117,6000,1709,0
9412,117,3172,5440,0
9412,117,3172,5446,0
10054,119,13000,1592,0
5272,119,13000,4998,0
8424,120,5527,2485,0
1550,120,6000,885,0
6801,120,1503,2500,2736
9763,120,480,3303,5520
9763,120,480,3301,5520
9763,120,480,3302,5520
9763,120,480,3300,5520
9062,121,3639,2490,0
9062,121,3639,2491,0
9063,121,6000,2485,0
9063,121,6000,2487,0
9063,121,6000,2488,0
9064,121,5998,2484,2
11260,121,2276,1136,0
10162,122,8000,2218,0
10162,122,8000,2222,0
7886,123,2212,604,0
1342,123,9548,1540,0
1342,123,9548,1545,0
9527,124,3633,5092,0
9528,124,3333,5091,0
410,124,4783,378,0
410,124,4783,1396,0
8930,124,8000,1047,0
10780,124,3174,2728,0
1456,124,1106,1674,2920
1359,124,1268,1563,4732
4866,125,5046,4569,0
6466,125,962,4841,5038
9744,125,4205,4532,0
3821,127,4972,1561,-9.09E-13
5763,127,4742,4977,0
5480,128,4573,2625,0
7087,129,4026,2572,0
9983,129,8000,4240,0
11191,129,5221,3220,1
5626,129,3225,4310,4775
7953,130,2116,3729,4
5471,130,3076,4165,0
5471,130,3076,4166,0
5790,130,9168,2505,3832
5790,130,9168,2846,3832
1556,130,390,1625,4296
1556,130,390,1638,4296
1556,130,390,1640,4296
10102,130,2022,4530,1650
7886,131,2212,3231,0
1868,131,4078,1746,120
9976,131,5859,3577,0
6799,131,977,2502,2570
6637,132,6000,4835,0
9411,132,3302,5428,0
9411,132,3302,5429,0
4778,132,3410,5146,2590
4786,132,2498,1711,0
4786,132,2498,1717,0
4786,132,2498,2857,0
4786,132,2498,2858,0
9806,132,3886,4584,1041
5834,132,5543,359,0
4548,133,2316,2681,0
1698,134,6000,1963,0
1698,134,6000,1964,0
2024,134,1248,3424,3766
2024,134,1248,3425,3766
9892,134,6000,922,0
4785,134,2003,4143,2014
4785,134,2003,4144,2014
5755,134,134,4316,4236
5483,135,135,2799,5865
9976,135,5859,3580,0
9806,135,3886,3209,1041
1320,135,270,1014,2548
1320,135,270,1016,2548
2389,135,3607,1642,0
5356,135,619,5318,1945
9412,136,3172,2342,0
410,136,4783,375,0
410,136,4783,1399,0
11033,136,3913,2923,0
5942,137,137,5216,5863
5480,137,4573,2717,0
9892,137,6000,2298,0
9892,137,6000,837,0
9892,137,6000,2681,0
10962,137,2180,3566,11
10261,137,4983,262,0
5834,137,5543,556,0
6534,138,5038,1859,0
6534,138,5038,1860,0
2820,138,4030,1379,0
2836,138,12507,1131,0
3370,138,2095,2561,0
9155,138,6565,850,0
10261,138,4983,235,0
485,139,2278,1075,0
10261,139,4983,234,0
10280,139,8000,3600,0
9741,139,782,5217,1734
9721,139,340,5329,2176
566,139,5122,1425,1
6144,140,6000,2781,0
5322,140,13000,1971,0
7194,140,2529,3335,6
10146,140,8000,2064,0
4452,141,6000,4881,0
8295,141,141,2631,3953
6144,142,6000,2782,0
707,142,5820,403,0
10966,142,2480,2392,48
10966,142,2480,2394,48
5126,142,5850,3439,0
5129,142,12990,3437,10
10684,142,6000,UG22-0734-S,0
10684,142,6000,UG22-0735-S,0
10684,142,6000,UG22-0736-S,0
10720,142,2352,1532,5648
5009,142,586,2902,2664
5009,142,586,2903,2664
7506,143,6000,2892,0
7506,143,6000,2893,0
7553,143,3416,2120,0
1685,143,2228,2541,0
5480,143,4573,2795,0
5764,143,6000,4606,0
5766,143,6000,4605,0
6241,143,7176,2888,0
10784,143,2102,2184,0
5739,143,3225,4949,0
4029,144,3117,3541,0
4031,144,4682,3540,1318
387,144,8000,2573,0
2890,144,5641,1458,1
2890,144,5641,1460,1
2890,144,5641,1462,1
2890,144,5641,1464,1
1626,144,3550,2342,0
1631,144,3772,2341,2228
1462,144,5345,1564,655
10739,144,288,1598,2368
10739,144,288,1589,2368
4933,145,5029,2150,0
4933,145,5029,2154,0
3063,145,4586,3085,0
3063,145,4586,3088,0
1249,145,2562,1801,0
4045,145,2491,3179,0
10778,145,5996,2349,4
10778,145,5996,2350,4
11362,145,5608,2521,0
8607,145,7505,816,0
8609,145,8000,770,0
8609,145,8000,787,0
4710,145,5425,2376,0
4710,145,5425,2377,0
3780,146,6000,1055,0
1686,146,6000,2551,0
9062,146,3639,2508,0
7602,146,1217,1916,1293
5441,146,8026,26,0
5441,146,8026,27,0
5441,146,8026,28,0
5441,146,8026,34,0
8786,146,2764,UE21-3480-S,0
8786,146,2764,UE21-4121-S,0
84,146,6000,119,0
566,146,5122,1424,1
6575,147,4173,4903,7
463,147,2764,2391,10
463,147,2764,2392,10
2820,147,4030,955,0
11025,147,634,2955,4981
5441,147,8026,2988,0
3613,147,2063,1785,9
83,147,5071,128,0
84,147,6000,115,0
84,147,6000,122,0
7993,147,1238,UD32-2638-S,4762
7993,147,1238,UD32-5107-S,4762
1695,148,5196,1617,804
3957,148,6000,3912,0
3958,148,3509,3911,2491
3490,148,6000,289,0
2834,148,2619,1363,227
11275,148,4648,2603,167
2598,148,4858,1920,0
2375,148,2644,2157,3356
5665,148,6258,UC31-4727-S,0
4240,149,2526,2099,0
2111,149,2268,3257,1487
2111,149,2268,3318,1487
3488,149,6000,288,0
3488,149,6000,262,0
3488,149,6000,281,0
6549,149,2501,5250,0
6397,149,453,4416,2601
11122,149,6000,2190,0
11025,149,634,2964,4981
11025,149,634,2966,4981
11381,149,6000,418,0
11381,149,6000,871,0
1342,149,9548,1698,0
1342,149,9548,1699,0
5665,149,6258,UC31-4579-P,0
3147,150,3905,3298,2095
3488,150,6000,360,0
3488,150,6000,368,0
2028,150,6000,2172,0
6516,150,2394,4701,1
7812,150,4043,3845,1957
6397,150,453,4442,2601
7210,150,6000,4569,0
10963,150,5516,3564,484
10963,150,5516,3567,484
10845,150,5890,1676,0
3626,150,8000,1011,0
1064,150,2128,1239,2414
6623,150,300,1384,3328
6623,150,300,4655,3328
6887,150,1737,1710,2045
5328,151,13000,4346,0
5305,151,2014,899,0
3488,151,6000,1091,0
3488,151,6000,1092,0
4778,151,3410,5139,2590
6266,151,3725,2972,0
6266,151,3725,2969,0
7602,151,1217,1918,1293
8661,151,1283,682,3469
8661,151,1283,683,3469
10683,151,151,UG22-3499-S,2738
9878,151,2764,1902,10236
9878,151,2764,2007,10236
5009,151,586,4134,2664
5009,151,586,4132,2664
3781,152,6000,1731,0
9321,152,8000,4993,0
3147,152,3905,3305,2095
3488,152,6000,1086,0
3488,152,6000,1087,0
2383,152,5034,1830,64
1551,152,6000,851,0
9483,153,3077,3214,0
9483,153,3077,3231,0
9483,153,3077,3659,0
5478,153,4305,1230,7
5478,153,4305,1022,7
5478,153,4305,1243,7
5478,153,4305,1247,7
5478,153,4305,2474,7
5478,153,4305,400,7
5478,153,4305,2475,7
5478,153,4305,1266,7
5478,153,4305,1265,7
5478,153,4305,2830,7
5478,153,4305,2828,7
373,153,3222,2960,707
9976,153,5859,4480,0
9976,153,5859,4481,0
1393,153,4252,292,0
1393,153,4252,305,0
1845,154,6000,1609,0
1845,154,6000,1610,0
2034,154,2144,3657,3856
4451,154,3036,4743,0
388,154,8000,328,0
375,154,154,2918,3057
6397,154,453,4444,2601
1206,154,4827,2220,0
9483,155,3077,4742,0
6131,155,6000,3969,0
9318,155,3900,4992,0
1845,155,6000,1611,0
1845,155,6000,1612,0
6636,155,6000,4621,0
5478,155,4305,1506,7
5478,155,4305,1507,7
5478,155,4305,1508,7
5478,155,4305,1510,7
5478,155,4305,1515,7
5478,155,4305,1513,7
3306,155,2755,2656,0
2822,155,358,958,5642
7236,155,3796,2615,0
10826,155,2279,2370,0
10826,155,2279,2373,0
1319,155,620,1022,2358
1319,155,620,1020,2358
1319,155,620,1026,2358
1319,155,620,1025,2358
1362,155,2292,1882,18
10291,155,465,2914,4215
10291,155,465,3397,4215
10291,155,465,2924,4215
769,155,4174,1034,1568
6887,155,1737,1712,2045
6887,155,1737,1714,2045
2890,156,5641,1459,1
2890,156,5641,1461,1
2890,156,5641,1463,1
2890,156,5641,1465,1
2371,156,1120,1842,3476
10954,156,500,269,2924
9401,157,3055,3941,2945
8133,157,6000,1353,0
8135,157,6000,1438,0
5771,157,157,5319,5120
11131,157,3995,3039,0
2645,157,3710,2279,0
2645,157,3710,2280,0
2646,157,6000,2274,0
2688,157,2757,2282,0
2688,157,2757,2283,0
2688,157,2757,2285,0
11327,157,3280,1784,0
10263,157,8000,113,0
4710,157,5425,2051,0
4710,157,5425,2055,0
4710,157,5425,2057,0
4710,157,5425,2373,0
4710,157,5425,2447,0
4710,157,5425,2448,0
4713,157,3643,2379,193
4713,157,3643,2381,193
4713,157,3643,2512,193
4713,157,3643,2513,193
2954,157,157,1067,2873
8707,158,5308,2666,0
8707,158,5308,2667,0
949,158,4772,2447,1228
2916,158,3599,857,0
468,158,4457,2289,1137
468,158,4457,2292,1137
468,158,4457,2297,1137
468,158,4457,2339,1137
11269,158,2989,1946,0
10615,158,2079,1307,0
10261,158,4983,112,0
6995,158,3537,1614,3095
4933,159,5029,2502,0
4933,159,5029,2503,0
5320,159,10186,4347,0
6549,159,2501,2898,0
1318,159,318,1012,5682
1318,159,318,1038,5682
10262,159,8000,111,0
7025,160,1426,2395,4574
7025,160,1426,2396,4574
5320,160,10186,5168,0
5320,160,10186,5170,0
5478,160,4305,1185,7
5478,160,4305,1183,7
9904,160,2166,2281,0
9904,160,2166,2283,0
11027,160,160,2076,5840
5361,160,2369,5883,0
5362,160,7997,2694,3
10089,160,320,4504,3180
10089,160,320,4505,3180
5252,161,2388,5584,1590
5397,161,651,5591,5349
11238,161,4581,934,1
1706,162,4245,2471,0
3306,162,2755,2747,0
3306,162,2755,2748,0
3306,162,2755,2749,0
3306,162,2755,2750,0
3308,162,6000,2746,0
6400,162,648,4037,2391
6400,162,648,4041,2391
6400,162,648,4035,2391
6400,162,648,4039,2391
10547,162,8000,2653,0
10986,162,2802,2328,0
11385,162,8000,2275,0
11385,162,8000,2276,0
8786,162,2764,2559,0
6636,163,6000,5127,0
10053,163,2194,2196,0
7211,163,5993,4563,7
4541,163,4379,1765,1621
7686,163,12998,UD31-0357-S,2
6302,163,5831,1736,129
6302,163,5831,1737,129
6302,163,5831,1738,129
6302,163,5831,1739,129
6302,163,5831,1740,129
6302,163,5831,1741,129
6302,163,5831,1742,129
6302,163,5831,1743,129
6302,163,5831,2529,129
8707,164,5308,2117,0
6131,164,6000,3895,0
5889,164,4238,4301,0
9320,164,8000,3392,0
9320,164,8000,3393,0
8133,164,6000,1469,0
8136,164,6000,1459,0
10054,164,13000,3944,0
3307,164,6000,2745,0
11131,164,3995,1690,0
11132,164,8000,1687,0
9852,164,164,4517,5836
7684,164,11617,UD31-0354-S,0
7684,164,11617,UD31-0355-S,0
7087,165,4026,2565,0
3813,165,3559,1295,0
5890,165,6000,4299,0
1709,165,8000,1616,0
4471,165,3460,3132,0
11275,165,4648,2230,167
10545,165,8000,731,0
10545,165,8000,737,0
10545,165,8000,739,0
10545,165,8000,1005,0
10545,165,8000,1593,0
10775,165,3186,2711,2814
10261,165,4983,3757,0
10469,165,876,812,5773
10469,165,876,823,5773
11473,165,8000,2157,0
11473,165,8000,2158,0
4129,166,7060,2057,0
9411,166,3302,2400,0
9411,166,3302,2403,0
9411,166,3302,2404,0
9411,166,3302,2405,0
9411,166,3302,2406,0
9411,166,3302,2407,0
9411,166,3302,2408,0
9411,166,3302,2409,0
9411,166,3302,2410,0
9411,166,3302,2411,0
9411,166,3302,2412,0
9902,166,2486,2284,0
9904,166,2166,2282,0
4546,166,5550,3941,0
10988,166,8000,1078,0
10988,166,8000,1079,0
10988,166,8000,1460,0
10989,166,8000,1077,0
330,166,505,2374,6398
330,166,505,2375,6398
7687,166,12720,UD31-1167-S,280
10469,166,876,738,5773
11228,166,166,448,3969
7955,167,13000,3319,0
9570,167,5408,156,-9.09E-13
9572,167,13000,152,0
9572,167,13000,154,0
9527,167,3633,151,0
9528,167,3333,149,0
2122,167,4064,3463,0
7813,167,1003,1306,1325
7813,167,1003,1308,1325
7813,167,1003,857,1325
7813,167,1003,1474,1325
7813,167,1003,1542,1325
373,167,3222,2961,707
10617,167,6000,2461,0
1550,167,6000,1030,0
10900,167,2519,1042,1
10900,167,2519,1686,1
10900,167,2519,1688,1
7887,168,8000,3216,0
6648,168,661,5448,5339
2035,168,5609,2151,58
373,168,3222,2959,707
11268,168,4561,1577,1439
11270,168,6000,1953,0
11270,168,6000,1956,0
11270,168,6000,1958,0
11270,168,6000,1960,0
11270,168,6000,1963,0
11270,168,6000,1966,0
11272,168,5874,1939,126
11273,168,168,1938,5832
10592,168,8000,2085,0
11323,168,2789,2400,1
11327,168,3280,1982,0
11327,168,3280,1985,0
11327,168,3280,1988,0
11327,168,3280,2097,0
11327,168,3280,2397,0
11327,168,3280,2399,0
11328,168,6000,1023,0
11328,168,6000,1757,0
11328,168,6000,1977,0
10754,168,3209,1801,0
1685,169,2228,2449,0
8298,169,4639,1528,0
11031,169,4611,3553,1
11031,169,4611,3554,1
11031,169,4611,3555,1
11032,169,2484,3552,3516
9809,169,2516,3474,0
5711,169,1834,4956,1844
248,169,7991,451,9
248,169,7991,452,9
9318,170,3900,1907,0
4786,170,2498,254,0
11132,170,8000,1789,0
10616,170,6000,1316,0
11408,170,3891,628,622
9856,170,2176,2198,0
4671,171,2483,4161,13
8133,171,6000,792,0
1553,171,6000,216,0
11329,171,5999,2217,1
5824,171,3865,3450,2135
5320,172,10186,1907,0
2022,172,432,3590,5013
1459,172,4887,1648,0
2658,172,3420,1317,2580
11381,172,6000,932,0
11385,172,8000,2274,0
5867,172,4683,5567,0
1415,172,4901,152,0
1415,172,4901,150,0
9878,172,2764,1909,10236
9878,172,2764,2129,10236
10494,173,8000,2252,0
5840,173,5508,4047,0
5840,173,5508,5526,0
330,173,505,2376,6398
11182,173,2711,3145,77
11183,173,435,3144,2274
10467,173,666,3290,4568
1308,173,681,2387,9548
4048,174,5231,3170,0
6946,174,5766,3600,0
6946,174,5766,3602,0
11081,174,8000,2587,0
10522,174,12900,2754,100
9809,174,2516,4068,0
9809,174,2516,4072,0
9809,174,2516,4075,0
9809,174,2516,4076,0
9809,174,2516,4077,0
9809,174,2516,4078,0
9809,174,2516,4079,0
9809,174,2516,4081,0
9809,174,2516,4093,0
9809,174,2516,4094,0
9809,174,2516,4095,0
9810,174,2386,4096,0
9810,174,2386,4097,0
9810,174,2386,4098,0
9810,174,2386,4099,0
9810,174,2386,4100,0
9810,174,2386,4101,0
9810,174,2386,4102,0
10649,174,6000,UG22-3553-P,0
10649,174,6000,UG22-3555-P,0
10673,174,12822,UG22-3488-P,178
6988,174,6000,3395,0
5820,174,3167,3454,34
9483,175,3077,3153,0
3943,175,3116,3725,0
3995,175,2548,1723,3
9902,175,2486,4405,0
4778,175,3410,5140,2590
486,175,8000,1499,0
11384,175,3927,539,-4.55E-13
11384,175,3927,622,-4.55E-13
11380,175,5509,886,0
10592,175,8000,2105,0
10592,175,8000,2108,0
11165,175,350,2863,4173
11165,175,350,2864,4173
6887,175,1737,1696,2045
8691,176,4330,2027,0
6131,176,6000,2224,0
6131,176,6000,2226,0
5481,176,5929,2793,71
2031,176,5587,2037,413
9902,176,2486,1682,0
9902,176,2486,2278,0
9902,176,2486,4566,0
6534,176,5038,2752,0
6535,176,6000,2755,0
11269,176,2989,1579,0
2599,176,2302,1793,4
10536,176,2147,2454,136
2445,176,3736,1894,0
9323,177,8000,4565,0
8133,177,6000,1135,0
6534,177,5038,2366,0
7585,177,6000,784,0
7585,177,6000,650,0
2598,177,4858,1887,0
10785,177,8000,2120,0
2650,177,6000,1700,0
2650,177,6000,1786,0
2650,177,6000,713,0
2650,177,6000,881,0
2650,177,6000,1787,0
2651,177,4492,766,1508
2651,177,4492,1638,1508
5436,177,2444,4313,0
5436,177,2444,4314,0
5436,177,2444,4295,0
5436,177,2444,4296,0
5436,177,2444,4299,0
10605,177,13000,2985,0
10176,177,8000,419,0
10175,177,5100,451,0
5820,177,3167,3458,34
6150,178,2810,4300,0
6937,178,6000,3403,0
8297,178,178,3880,5822
5994,178,8000,5068,0
1223,178,13000,1679,0
10962,178,2180,3558,11
9809,178,2516,4022,0
8605,178,5110,811,0
9210,178,4686,657,3
7698,178,1097,UD31-1590-S,2313
10673,178,12822,UG22-3489-P,178
9878,178,2764,4190,10236
9878,178,2764,4191,10236
10200,178,5183,2225,0
10200,178,5183,2208,0
10084,178,3784,2608,0
10084,178,3784,2609,0
10084,178,3784,2610,0
10084,178,3784,2611,0
10084,178,3784,2612,0
10084,178,3784,2613,0
10085,178,1535,2602,4465
10085,178,1535,2607,4465
5820,178,3167,3462,34
6295,178,938,4295,4372
6295,178,938,4296,4372
4241,179,2526,1530,0
4242,179,2526,659,0
1692,179,2815,2446,3185
6714,179,2325,1892,1710
6714,179,2325,1678,1710
6714,179,2325,1896,1710
6714,179,2325,1895,1710
6714,179,2325,1900,1710
6714,179,2325,1899,1710
10053,179,2194,972,0
10041,179,8000,1084,0
6516,179,2394,2364,1
11028,179,2135,3048,0
10161,179,2465,2217,0
10161,179,2465,2221,0
11473,179,8000,1283,0
11474,179,1752,1265,6248
1159,179,1965,650,3316
9208,179,1465,74,2658
4869,180,2550,4777,0
9318,180,3900,4004,0
9322,180,8000,1736,0
9322,180,8000,4002,0
4643,180,6000,1753,0
4786,180,2498,4598,0
10053,180,2194,790,0
8308,180,8000,3457,0
11193,180,4111,2669,42
11193,180,4111,3169,42
11194,180,7966,242,34
10921,180,11138,2566,1862
6887,180,1737,1698,2045
6887,180,1737,1700,2045
6887,180,1737,1702,2045
6887,180,1737,1704,2045
5626,180,3225,4311,4775
9208,180,1465,161,2658
9483,181,3077,3376,0
9610,181,2390,2543,0
9319,181,2122,5072,0
9904,181,2166,2279,0
9904,181,2166,2280,0
10043,181,8000,1898,0
638,181,10603,1284,0
638,181,10603,1285,0
8308,181,8000,3479,0
8308,181,8000,3472,0
956,181,3268,2386,0
4546,181,5550,2680,0
10615,181,2079,609,0
10615,181,2079,2100,0
10833,181,4232,1751,0
3380,181,2518,2292,0
11204,181,5154,3581,4135
5384,181,3592,5282,1916
9558,182,13000,5448,0
9562,182,13000,5447,0
9483,182,3077,3108,0
3811,182,5952,1468,48
3819,182,5652,796,2348
3809,182,6000,1467,0
7517,182,8000,1854,0
6737,182,4075,2452,0
6737,182,4075,2454,0
6737,182,4075,2455,0
6737,182,4075,2456,0
6714,182,2325,1676,1710
6714,182,2325,1902,1710
8133,182,6000,869,0
8133,182,6000,1125,0
10040,182,5071,3884,0
8419,182,6000,2444,0
2838,182,2656,1322,192
4542,182,4117,2569,1883
9811,182,2316,3600,0
9811,182,2316,1332,0
9811,182,2316,1936,0
2446,182,2481,1893,0
1550,182,6000,224,0
7427,182,5371,2971,24
10947,182,5752,2061,248
5820,182,3167,3452,34
5625,182,3055,4301,0
2116,183,5958,2836,42
10056,183,13000,1762,0
10040,183,5071,3579,0
3015,183,2472,2975,2
6403,183,3198,4482,0
7603,183,10819,2288,0
7603,183,10819,2436,0
11266,183,4411,2564,0
10673,183,12822,UG22-3490-P,178
10673,183,12822,UG22-3491-P,178
10298,183,3843,3627,0
7993,183,1238,UD32-5208-S,4762
5909,184,2925,5565,0
5305,184,2014,1956,0
6636,184,6000,4769,0
10054,184,13000,519,0
10054,184,13000,948,0
10054,184,13000,1041,0
6526,184,6000,2252,0
2974,184,2150,1276,0
1962,184,2945,171,0
1962,184,2945,1503,0
10965,184,4193,3668,110
5820,184,3167,3456,34
7993,184,1238,UD32-5205-S,4762
9617,185,2050,2544,0
8813,185,5007,3033,0
6764,185,13000,846,0
10054,185,13000,3881,0
6937,185,6000,3315,0
2280,185,2562,2240,0
1138,185,12046,1218,0
1138,185,12046,1219,0
1459,185,4887,1565,0
821,185,5956,1751,44
822,185,1275,1749,4725
7698,185,1097,UD31-1589-S,2313
7472,185,2149,2968,419
10280,185,8000,3574,0
7131,185,563,4050,5063
10204,185,2376,UG11-1705-S,36
5820,185,3167,3460,34
6032,185,370,4297,4830
6032,185,370,4298,4830
6132,186,5941,3840,59
6132,186,5941,3842,59
5304,186,2325,1650,0
9411,186,3302,5143,0
9411,186,3302,5417,0
373,186,3222,2962,707
2820,186,4030,1384,0
4549,186,8000,2763,0
1464,186,1582,1610,6418
9813,186,2190,4011,0
10592,186,8000,1384,0
9217,186,8000,739,0
10315,186,8000,3568,0
10245,186,2035,734,0
5820,186,3167,3448,34
11233,186,3289,3187,9711
9483,187,3077,4774,0
2260,187,2085,164,15
9810,187,2386,3754,0
858,187,5422,1712,7085
7110,187,374,3276,5626
7110,187,374,3255,5626
9556,188,3039,136,0
9556,188,3039,576,0
5320,188,10186,2899,0
7553,188,3416,1534,0
5792,188,13000,5053,0
11268,188,4561,2548,1439
11270,188,6000,1749,0
10777,188,2581,1393,3419
10785,188,8000,570,0
9811,188,2316,1931,0
1322,188,1669,1340,2083
9210,188,4686,656,3
10147,188,8000,88,0
10244,188,6631,743,0
10905,188,4130,673,8870
1997,188,188,1238,7812
10026,189,2622,1356,0
6576,189,1181,5245,4819
410,189,4783,379,0
410,189,4783,1395,0
6234,189,3856,3891,0
9976,189,5859,4421,0
11025,189,634,2954,4981
9811,189,2316,1614,0
2381,189,6032,1832,0
5711,189,1834,4957,1844
10128,189,756,2159,4021
10128,189,756,2163,4021
10128,189,756,2157,4021
10128,189,756,2161,4021
8357,189,581,3870,5419
7131,189,563,4047,5063
7131,189,563,4049,5063
1159,189,1965,914,3316
7336,190,2785,4400,0
5890,190,6000,4463,0
9412,190,3172,5145,0
9412,190,3172,5146,0
3308,190,6000,2652,0
3308,190,6000,2654,0
3309,190,6000,2650,0
3310,190,6000,2640,0
3310,190,6000,2642,0
3310,190,6000,2648,0
3319,190,2116,2638,3884
8419,190,6000,2435,0
388,190,8000,1885,0
11125,190,6000,2781,0
11270,190,6000,1847,0
1943,190,8000,1008,0
1962,190,2945,1329,0
1962,190,2945,1330,0
1345,190,12882,1502,118
1346,190,12394,1501,606
253,190,7400,1111,0
253,190,7400,1112,0
253,190,7400,205,0
10469,190,876,794,5773
10469,190,876,795,5773
4507,190,398,4816,5310
11250,190,190,1371,2783
9318,191,3900,3426,0
9322,191,8000,1920,0
9322,191,8000,3338,0
9323,191,8000,3428,0
9324,191,8000,3427,0
6636,191,6000,5460,0
6636,191,6000,5461,0
10027,191,2622,3249,0
10027,191,2622,3250,0
8085,191,683,2536,2420
9063,191,6000,2479,0
9063,191,6000,2480,0
9063,191,6000,2481,0
11133,191,8000,2809,0
11270,191,6000,2256,0
5436,191,2444,4227,0
2382,191,6031,1831,0
7763,191,2893,3650,0
1552,191,6000,384,0
1552,191,6000,280,0
8606,191,4648,812,1352
7427,191,5371,2985,24
6887,191,1737,1968,2045
6887,191,1737,2695,2045
11434,191,7519,2112,481
5875,192,192,4972,2832
1685,192,2228,2543,0
4040,192,3249,3182,0
10040,192,5071,4582,0
6534,192,5038,5019,0
485,192,2278,1314,0
7210,192,6000,4554,0
7211,192,5993,2731,7
7213,192,2135,2721,3865
7213,192,2135,2724,3865
10340,192,8000,2651,0
830,192,8000,2010,0
3613,192,2063,1787,9
9210,192,4686,661,3
10259,192,1605,2878,405
4710,192,5425,2374,0
4710,192,5425,2375,0
6131,193,6000,3968,0
4058,193,13000,3755,0
10054,193,13000,1553,0
727,193,5125,2543,0
6077,193,13000,3971,0
7264,193,3215,2461,2785
6403,193,3198,3057,0
7211,193,5993,4552,7
10615,193,2079,1534,0
9810,193,2386,3753,0
7473,193,5925,2953,75
4869,194,2550,1720,0
4869,194,2550,1722,0
4869,194,2550,1723,0
4869,194,2550,2885,0
4872,194,8000,1603,0
8825,194,8000,944,0
4933,194,5029,2134,0
9413,194,3172,2887,0
10025,194,2650,1305,0
10025,194,2650,1311,0
6548,194,4215,5021,3785
6521,194,2902,2258,0
8978,194,8000,342,0
8092,194,8676,1967,0
3307,194,6000,2720,0
3307,194,6000,2721,0
3307,194,6000,2722,0
3308,194,6000,2719,0
5211,194,7997,4280,3
8929,194,2082,1233,0
7473,194,5925,2951,75
332,194,13000,297,0
10244,194,6631,733,0
5625,194,3055,4323,0
5934,195,3832,3640,0
3147,195,3905,3303,2095
3147,195,3905,3304,2095
6636,195,6000,4737,0
6636,195,6000,4780,0
7332,195,390,4549,12610
7332,195,390,4550,12610
2739,195,6000,343,0
2975,195,5999,1219,1
